,prdtypecode
0,10
1,2280
2,50
3,1280
4,2705
5,2280
6,10
7,2522
8,1280
9,2582
10,1560
11,1560
12,1281
13,1920
14,1560
15,2522
16,2403
17,2522
18,1140
19,2280
20,2583
21,1280
22,1180
23,1140
24,1300
25,2462
26,1280
27,2522
28,2280
29,1160
30,2060
31,40
32,1560
33,2522
34,40
35,2060
36,2060
37,1281
38,1920
39,2583
40,60
41,1180
42,2522
43,1281
44,2280
45,1920
46,10
47,40
48,1160
49,1280
50,40
51,2403
52,1281
53,2583
54,2403
55,1280
56,2705
57,2403
58,2583
59,1300
60,1280
61,2403
62,1320
63,1300
64,2583
65,2583
66,1140
67,2060
68,2280
69,2403
70,2583
71,2462
72,1140
73,2582
74,2403
75,2280
76,1302
77,2060
78,1560
79,1302
80,50
81,1300
82,2220
83,2060
84,2583
85,1560
86,2462
87,1560
88,1280
89,2522
90,2583
91,2583
92,1920
93,1280
94,2522
95,1560
96,2403
97,2522
98,1140
99,2060
100,2582
101,40
102,2280
103,1920
104,1300
105,1300
106,1180
107,40
108,2583
109,1160
110,1140
111,2705
112,2280
113,2403
114,1302
115,1160
116,2583
117,2583
118,2583
119,1560
120,1302
121,2060
122,2403
123,2060
124,1320
125,1302
126,1140
127,2280
128,1280
129,2280
130,2583
131,10
132,1560
133,1560
134,1300
135,1281
136,1280
137,2280
138,1320
139,2583
140,1300
141,2705
142,40
143,1320
144,2705
145,2583
146,1300
147,1280
148,2905
149,2522
150,2705
151,1280
152,2583
153,1300
154,1180
155,1160
156,2403
157,1920
158,1560
159,2522
160,1140
161,2403
162,2585
163,50
164,2705
165,50
166,2280
167,2583
168,2060
169,2280
170,1560
171,2583
172,1280
173,2280
174,2583
175,2060
176,2585
177,1920
178,2583
179,1160
180,60
181,1300
182,1560
183,2060
184,2583
185,1302
186,2280
187,2060
188,10
189,2403
190,2060
191,1320
192,2403
193,2403
194,1560
195,40
196,1140
197,2705
198,2522
199,1300
200,1940
